Word;Freq_HAL;I_Mean_RT;I_Zscore
a;10610626;798.92;-0.01
aah;222;816.43;0.21
aaron;10806;736.06;-0.11
aback;387;796.27;0.11
abacus;513;964.4;0.65
abandon;3761;695.72;-0.31
abandoned;5160;860.77;-0.09
abandoning;1005;740.55;-0.11
abandonment;786;771.09;0
abase;30;803.27;0.03
abasement;7;1037.06;0.92
abash;1;748.71;0.23
abate;279;719.54;-0.09
abated;144;894.23;0.45
abbess;33;885.14;0.28
abbey;2286;726.19;-0.1
abbot;616;808.58;0.21
abbreviate;203;795.03;0.16
abbreviated;1214;698.45;-0.25
abbreviation;1908;728.91;-0.02
abbreviations;2480;729.13;-0.12
abdicate;118;1056;0.84
abdomen;1279;813.43;0.03
abdominal;850;715.55;-0.13
abduct;180;769.67;0.03
abduction;1995;795.88;0.01
abe;1235;820.67;0.08
abed;143;887.5;0.5
abel;1009;782.75;-0.24
abel's;52;840.14;0.2
aberrant;166;955.38;0.55
aberration;556;946.55;0.51
aberrations;299;1005.37;0.94
abet;81;792;0.37
abetted;132;998.5;0.71
abeyance;36;914;0.22
abhor;383;786.15;0.12
abhorred;87;798.44;0.41
abhorrent;366;794.15;0.25
abide;1967;773.21;-0.18
abides;443;750.63;-0.05
abiding;1363;784.67;0.05
abigail;693;881.12;0.19
abilities;9029;657.06;-0.49
ability;56922;619.68;-0.48
abject;505;692.67;0.07
ablaze;154;740.73;0.15
able;176528;623.3;-0.5
ably;256;796.14;0.14
abnormal;2204;684.91;-0.19
abnormalities;644;898.37;0.26
abnormality;291;781.44;0.03
abnormally;372;843.26;0.02
aboard;3721;628.16;-0.52
abode;486;855.83;0.27
abolish;1606;703.22;-0.26
abolished;1458;664.63;-0.36
abolition;827;834.33;0.08
abolitionist;134;982.89;0.64
abolitionists;100;1010.97;0.78
abominable;473;829.07;0.27
abominate;3;888.59;0.51
aboriginal;1459;916.73;0.63
aborigine;71;933.6;0.73
aborigines;511;977.36;0.73
abort;2778;672.48;-0.41
abortion;16764;686.45;-0.32
abortionist;206;833.82;0.12
abortions;3768;774.63;-0.2
abortive;213;881.08;0.14
abound;1065;768.9;-0.07
abounded;78;832.31;0.17
abounding;100;884.52;0.28
abounds;314;678.9;-0.28
about;1307019;628.19;-0.56
above;177919;564.33;-0.85
aboveground;19;830.65;0.19
abracadabra;73;889.25;0.74
abraham;3824;782.84;-0.14
abrasion;250;807.35;0.08
abrasive;576;710.59;-0.25
abreast;491;846.48;0.41
abridged;797;927.29;0.24
abridgment;42;1152.61;0.87
abroad;5984;654.69;-0.51
abrogate;100;798.58;0.72
abrogated;128;818.53;0.32
abrupt;719;690.97;-0.19
abruptly;1230;701.21;-0.12
abruptness;23;817.68;0.33
abscess;96;1033.5;44958
abscesses;109;1061.21;45078
abscissa;18;953.15;0.77
abscond;17;774.11;0.54
absence;7304;687;-0.4
absences;143;812.12;-0.09
absent;3019;665.32;-0.41
absented;4;794.58;-0.07
absentee;152;886.79;0.32
absenteeism;78;963.42;0.81
absently;190;648.1;-0.4
absentmindedly;49;1038.53;44927
absinth;8;744.5;0.83
absolute;16840;707.03;-0.34
absolutely;36965;667;-0.45
absoluteness;23;888.84;0.17
absolutes;587;826.7;0.02
absolution;140;842.88;0.29
absolutism;197;934.96;0.48
absolve;223;730.12;-0.19
absorb;2787;633.78;-0.54
absorbed;2954;735.41;-0.24
absorbency;82;955.82;0.53
absorbent;193;793.73;0.12
absorber;143;794.7;0.16
absorbing;933;747.06;-0.08
absorbs;619;675;-0.47
absorption;1735;825.69;0.25
absorptions;11;841.13;0.31
absorptive;32;873.88;0.54
abstain;960;729.5;-0.06
abstaining;190;861.88;0.26
abstention;72;985.39;0.74
abstinence;983;884.38;0.17
abstinent;73;968.9;0.73
abstract;8606;667.91;-0.4
abstracted;261;790.52;-0.02
abstractedness;2;1073.32;0.96
abstracting;113;875.26;0.11
abstraction;1596;820.06;0.03
abstractionism;1;1100;0.93
abstractionists;3;1187.81;13516
abstractions;512;864.34;0.09
abstractive;7;972.32;0.71
abstractly;143;806.33;-0.03
abstractors;0;942.86;0.47
abstracts;4089;766.5;-0.19
abstruse;157;1042.6;0.89
absurd;4985;736.57;-0.22
absurdities;300;928.44;0.54
absurdity;1084;860.47;0.22
absurdly;316;808.72;0.08
abundance;1825;698.73;-0.27
abundant;1381;660.75;-0.34
abuse;25915;608.69;-0.7
abused;6038;620.94;-0.5
abuses;3312;632.58;-0.46
abusive;3526;799.24;-0.11
abut;259;1072.33;0.81
abutment;19;1089.5;44927
abutments;18;1164.25;16438
abysmal;619;714.58;-0.1
abyss;4219;651.44;-0.34
acacia;213;1013.5;0.32
academic;17622;716.91;-0.32
academically;725;868.61;0.36
academicianship;1;1150.45;11324
academics;1817;682.52;-0.42
academies;967;794.96;-0.01
academy;12050;630.97;-0.47
acadia;305;959.62;0.55
acapulco;180;927.84;0.28
accede;149;967.25;0.46
acceded;62;880.11;0.21
accelerando;7;1069.4;45078
accelerate;2368;710.85;-0.21
accelerated;3367;741.56;-0.13
accelerating;1037;832.61;0.17
acceleration;4203;712.16;-0.25
accelerations;169;828.49;0.22
accelerator;5152;838.23;-0.07
accelerators;1466;791.89;0.11
accelerometer;70;1130.87;0.97
accelerometers;63;1029.23;41275
accent;5213;674.97;-0.49
accented;1182;642.73;-0.42
accenting;54;819.32;-0.06
accents;1796;641.22;-0.58
accentual;1;865;0.21
accentuate;161;765.43;0.23
accentuated;193;938.72;0.43
accentuates;57;995.73;0.64
accept;49430;556.39;-0.86
acceptable;16372;661.06;-0.43
acceptance;8774;660.75;-0.33
accepted;33901;597.79;-0.64
accepting;7649;630.55;-0.54
accepts;4586;735.67;-0.37
access;172256;677.79;-0.47
accesses;2369;749.39;-0.13
accessible;10758;709.22;-0.38
accessions;48;919.41;0.48
accessories;5737;704.88;-0.31
accessors;173;912.17;0.09
accessory;1342;687.36;-0.33
accident;11152;621.78;-0.61
accidental;2346;691;-0.21
accidentally;4432;704.6;-0.2
accidents;4163;632.74;-0.47
acclaim;889;828.19;-0.05
acclaimed;1049;694.97;-0.21
acclaims;7;801.13;-0.18
acclamation;26;816;0.29
acclimate;97;863.13;0.38
acclimatized;17;1205.63;13516
accolade;703;960.35;0.69
accolades;227;899.06;0.37
accommodate;2454;726.15;-0.15
accommodated;301;705.59;-0.14
accommodates;136;756.63;-0.15
accommodating;447;760.45;-0.03
accommodation;2006;864.83;0.07
accommodations;1434;770.88;0.02
accompanied;4441;787.09;-0.01
accompanies;722;803.45;0.01
accompaniment;711;728.36;0.09
accompaniments;36;1015.39;0.84
accompanist;156;817.18;0.38
accompanists;73;886.08;0.55
accompany;2138;725.84;-0.22
accompanying;2991;899.42;0.26
accomplice;281;784.33;-0.06
accomplices;220;940.52;0.59
accomplish;7794;773.12;-0.23
accomplished;6982;726.79;-0.25
accomplishes;592;862.14;0.35
accomplishing;704;708.63;-0.15
accomplishment;1301;803.06;0.04
accomplishments;1990;776.33;0.02
accord;3524;683.71;-0.38
accordance;4854;767.24;-0.09
accorded;563;763.74;0.01
according;64745;707.18;-0.45
accordingly;5108;736.58;-0.18
accordion;590;930.2;0.4
accords;974;680.44;-0.34
accost;31;806.81;0.11
accosted;168;796.65;0.26
accosting;24;838.54;0.24
account;60958;619.38;-0.68
accountability;1478;821.21;0.17
accountable;2339;729.33;-0.19
accountant;1527;817.19;0.05
accountants;1506;742.86;-0.22
accounted;1502;664.83;-0.43
accounting;15754;632.09;-0.43
accounts;18019;644.92;-0.6
accredit;35;839.71;0.3
accreditation;561;975;0.61
accredited;1049;773.91;0.07
accrue;611;704.89;-0.07
accrued;230;851.08;0.21
accrues;63;917.33;0.39
accruing;155;897.14;0.42
acculturated;24;1061.47;41275
acculturation;35;1047.95;0.79
accumulate;1392;734.09;-0.24
accumulated;2137;748.26;-0.13
accumulates;249;749.78;-0.2
accumulating;553;776.41;-0.05
accumulation;1206;859.88;0.03
accuracy;10534;615.97;-0.61
accurate;21492;728.24;-0.22
accurately;5396;807.22;-0.01
accurst;4;914.9;0.26
accusation;2176;819.06;0.16
accusations;3477;763.73;-0.06
accusative;103;1071.37;0.83
accuse;3798;626.36;-0.52
accused;9093;661.97;-0.47
accuses;809;758.7;-0.11
accusing;2296;743.55;-0.17
accusingly;39;809.74;0.14
accustom;75;751.48;0.01
accustomed;1691;735.72;-0.17
ace;6967;579.03;-0.61
acerbic;76;829.89;0.54
aces;1837;768.94;-0.08
acetate;547;856.65;0.42
acetone;423;793.04;0.04
acetylene;82;1084;0.8
ache;846;631.66;-0.5
ached;296;797.04;0.04
aches;419;683.77;-0.33
achieve;15544;702.82;-0.49
achieved;8305;700.09;-0.32
achievement;3925;746.68;-0.21
achievements;2085;700.36;-0.22
achieves;762;757.23;-0.07
achieving;3180;657.17;-0.27
achilles;688;751.19;0.16
aching;1099;799.6;-0.11
acid;13610;615.69;-0.57
acidic;809;753.85;-0.02
acidity;256;738.67;-0.09
acids;2326;636.75;-0.42
acknowledge;6783;771.38;-0.15
acknowledged;3936;810.85;0.09
acknowledgement;1823;735.76;0.1
acknowledges;1067;951.52;0.61
acknowledging;1216;857.81;0.24
acknowledgment;948;850.67;0.28
acknowledgments;409;917.36;0.29
acme;911;772;-0.22
acne;536;627.94;-0.55
acolyte;444;731.18;0.05
acorn;8301;721.96;-0.24
acorns;359;735.07;-0.05
acoustic;5401;793.44;0.19
acoustical;270;855.69;0.49
acoustically;157;988.35;0.66
acoustics;1240;789.03;-0.02
acquaint;167;858.73;0.09
acquaintance;1275;807.45;0.08
acquainted;1022;796.61;-0.03
acquiesce;108;881.84;0.52
acquiesced;111;934.5;0.61
acquiescence;91;927.75;0.51
acquiescent;19;714;-0.01
acquire;6529;673.94;-0.3
acquired;6388;710;-0.18
acquires;460;748.42;-0.3
acquiring;1952;731.74;-0.15
acquisition;5006;785.59;0
acquisitions;1098;779.12;0.13
acquisitive;40;908.64;0.59
acquisitiveness;4;1216.81;0.92
acquit;100;832.44;0.28
acquittal;249;905.54;0.39
acquitted;608;802.06;0.16
acre;1554;723;-0.2
acreage;231;1018;42005
acres;3930;679.03;-0.29
acrid;111;762.29;0.17
acrimonious;113;1115.45;0.97
acrimony;89;784.5;0.21
acrobat;2449;755.88;-0.16
acrobatic;167;832.78;0.21
acrobatics;401;958.93;0.49
acrobats;66;715.18;-0.18
acronym;1966;831.33;0.26
acropolis;109;905;0.31
across;62336;589.47;-0.58
acrylic;844;782.81;0.04
act;72216;635.18;-0.56
acted;4894;652.76;-0.47
acting;16012;584.81;-0.72
action;77756;564.13;-0.8
actions;29726;643.75;-0.53
activate;3486;657.35;-0.45
activated;3246;752.13;-0.23
activating;655;700.47;-0.32
activation;1918;806.54;0.19
active;35565;632.74;-0.59
actively;7101;703.78;-0.3
activism;1558;653.09;-0.4
activist;3525;697.69;-0.24
activities;32765;713.27;-0.3
activity;26484;714.84;-0.37
actor;10471;539.97;-0.83
actors;7249;647.87;-0.45
actor's;363;588.29;-0.66
actress;4996;687.53;-0.49
actresses;1663;860.76;0.24
acts;19423;590.34;-0.64
actual;40919;623.32;-0.63
actualities;38;833.86;0.15
actuality;950;829;0.05
actually;196457;647.27;-0.44
actuary;49;711.67;0.08
acuity;228;862.47;0.22
acupuncture;525;853.2;0.32
acute;2427;649.53;-0.45
acutely;332;818.93;0.22
acuteness;19;874.47;0.32
ad;43254;740.94;-0.3
ada;15432;882.82;0.46
adage;503;769.85;0.38
adam;19626;602.12;-0.58
adamant;624;823;0.2
adamantly;329;836;0.42
adam's;744;611.76;-0.52
adapt;3389;660.36;-0.56
adaptability;229;893.61;0.45
adaptable;802;899.62;0.08
adaptation;2000;804.5;0.09
adaptations;510;825.94;0.03
adapted;3098;684.82;-0.42
adapter;15074;813.59;0.01
adapters;4651;811.64;0.1
adapting;729;754.36;-0.29
ada's;166;926.58;0.4
add;113856;657.55;-0.58
added;62085;644;-0.56
addendum;1340;936.31;0.52
adder;351;732;0.18
addict;1887;600.9;-0.7
addicted;2311;661.73;-0.43
addiction;3437;628.29;-0.46
addicts;1909;722.97;-0.24
adding;24066;648.36;-0.46
addition;46938;601.69;-0.58
additional;56018;678.94;-0.3
additionally;6651;820.39;0.13
additions;9274;718.52;-0.04
additive;903;711.35;-0.09
additives;1265;782.39;-0.06
addle;7;1107.13;0.29
address;221551;582.3;-0.67
addressed;12135;673.31;-0.54
addressee;230;944.86;0.55
addressees;100;763.76;-0.05
addresses;35300;757.77;-0.27
addressing;7146;689.76;-0.36
adds;11870;632.21;-0.47
adduce;87;748.67;-0.04
adele;212;881.29;0.23
adept;1754;759.21;-0.14
adequacy;407;780.64;0.15
adequate;8178;674.69;-0.28
adequately;2873;698.24;-0.29
adhere;1932;720.67;-0.21
adhered;387;781.91;0.16
adherence;903;880.56;0.27
adherent;143;823.79;0.04
adherents;692;912.07;0.5
adheres;263;822.82;0.14
adhesion;377;912.42;0.27
adhesive;938;787.21;-0.06
adhesives;160;766.38;0.07
adieu;142;900.14;0.35
adios;494;746.42;0
adipose;124;887.36;0.52
adirondack;352;981.1;0.81
adirondacks;119;917.21;0.82
adjacent;3297;748.12;-0.09
adjectival;39;1051;0.99
adjective;1045;671.35;-0.41
adjectives;618;749.84;-0.18
adjoin;10;907.9;0.27
adjoined;18;754.28;-0.1
adjoining;627;809.74;0.2
adjoins;33;891.85;0.25
adjourn;167;733.67;-0.1
adjourned;221;890.55;0.14
adjourning;7;820.21;0.28
adjournment;104;977.61;0.31
adjourns;11;863;0.21
adjudge;11;784.6;-0.05
adjudged;64;878.27;0.8
adjudging;2;1019.43;42005
adjudicate;117;1062.19;0.9
adjudication;219;975.56;0.87
